 tach0, tach1, tach2, tach3, tach4, tach5, tach6, tach7, tach8, tach9, tach10, tach11, tach12, tach13, tach14, tach15, tach16, tach17, tach18, tach19, tach20, tach21, tach22, tach23, tach24, tach25, tach26, tach27, tach28, tach29, tach30, tach31, tach32, tach33, tach34, tach35, tach36, tach37, tach38, tach39, tach40, tach41, tach42, tach43, tach44, tach45, tach46, tach47, tach48, tach49, tach50, tach51, tach52, tach53, tach54, tach55, tach56, tach57, tach58, tach59, tach60, tach61, tach62, tach63, tach64, tach65, tach66, tach67, tach68, tach69, tach70, tach71, tach72, tach73, tach74, tach75, tach76, tach77, tach78, tach79, tach80, tach81, tach82, tach83, tach84, tach85
255,254,248,241,241,234,227,234,241,254,248,234,241,234,234,248,241,234,220,199,137,103,110,117,82,48,75,103,89,41,0,0,55,75,55,68,89,110,103,82,103,130,137,137,130,110,103,117,124,151,158,151,137,137,151,165,172,158,165,137,117,110,110,117,144,130,117,117,110,103,103,103,110,117,110,103,110,110,103,89,103,103,110,130,130,130
255,254,254,235,242,248,254,248,248,242,242,242,223,223,229,217,217,204,192,173,124,62,37,68,93,74,74,80,74,18,0,6,43,62,43,68,93,99,99,99,111,124,136,136,124,117,111,111,117,130,130,136,130,124,117,111,117,124,142,124,111,99,105,117,130,136,117,111,105,93,99,105,105,124,124,117,105,111,111,105,111,117,117,130,136,124
241,241,235,235,208,208,222,222,228,235,248,254,254,254,241,248,241,228,195,169,130,84,32,52,91,91,97,91,65,19,0,0,39,65,58,71,84,71,84,84,91,111,130,143,130,124,117,117,124,130,137,150,163,150,143,137,137,137,130,130,124,104,104,111,124,130,130,124,111,111,111,111,117,130,130,124,130,124,111,111,124,130,137,143,150,143
241,254,254,234,234,241,248,248,254,241,241,248,241,241,254,254,254,254,234,214,174,127,107,107,93,67,60,80,80,60,13,0,26,60,60,46,67,80,80,73,73,93,114,114,127,107,73,73,100,93,114,127,107,107,100,93,107,114,120,114,87,67,67,93,114,107,87,87,87,73,80,80,80,93,87,73,73,80,73,67,73,80,80,87,107,100
254,249,249,249,233,227,243,238,243,249,249,254,249,238,233,233,222,216,222,205,173,124,70,43,81,92,86,86,86,70,27,0,16,59,75,70,75,81,86,86,86,86,97,113,119,124,113,108,108,108,119,130,135,119,108,119,130,124,130,119,119,92,81,86,108,124,124,113,92,92,92,97,108,119,124,130,130,130,124,119,113,124,124,124,130,140
255,247,254,254,247,247,247,254,254,254,254,254,254,240,240,233,205,184,169,155,127,99,70,99,113,99,70,84,99,84,28,0,7,35,42,35,70,99,113,113,113,120,148,155,155,148,127,113,113,127,148,169,162,148,141,148,169,169,169,191,155,127,113,120,120,120,106,99,99,99,106,106,113,120,113,99,106,113,106,99,99,106,113,127,134,127
255,255,255,237,237,248,243,254,254,248,254,254,243,237,231,225,225,237,231,208,173,115,52,52,86,86,75,86,92,75,28,0,0,52,75,75,75,81,92,104,92,86,104,127,121,121,110,98,104,104,138,138,127,115,115,110,115,127,121,121,86,75,81,98,127,133,121,98,92,92,98,98,115,121,110,104,104,104,104,98,104,110,115,121,127,121
254,254,248,242,242,254,248,242,242,242,248,235,222,229,235,235,235,222,191,146,76,25,38,76,76,76,76,76,57,6,0,12,57,63,44,57,63,70,76,76,76,95,108,114,114,101,89,108,108,114,121,114,95,82,82,82,89,89,95,76,57,57,70,82,89,89,82,76,70,70,70,82,89,89,89,89,89,89,76,82,89,95,101,114,114,108
255,255,255,255,254,254,254,242,242,248,242,248,248,248,248,248,254,254,254,242,212,182,127,72,66,97,97,84,84,91,72,24,0,30,66,66,66,97,97,103,97,97,115,133,133,133,121,115,109,115,127,139,139,127,121,115,127,133,133,139,127,103,97,91,97,115,133,127,109,103,109,103,109,115,115,115,109,109,109,109,109,103,109,121,121,127
242,230,242,236,218,236,230,230,230,236,248,242,242,254,254,236,218,218,224,212,157,121,91,42,36,72,91,97,91,72,36,0,12,60,72,66,84,84,84,91,91,103,133,139,145,133,121,109,103,127,139,151,145,145,139,133,151,139,133,133,133,109,97,115,127,127,115,109,97,97,109,109,109,127,133,127,121,127,121,115,115,127,127,115,121,139
